2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Tom Brady, NE QB",Buf,Mon 8:30,25.4/40.8,283,2.8,0.7,2.8,3.5,0.1,0,0,0,21.2
4,"Derek Carr, Oak QB",@Det,Sun 1:00,23.7/35.8,297.5,2.7,0.6,1.8,5.1,0,0,0,0,20.3
5,"Carson Palmer, Ari QB",Cin,Sun 8:30,24.1/36.9,316.2,2.3,0.9,1.7,2.7,0.1,0,0,0,19.5
6,"Devonta Freeman, Atl RB",Ind,Sun 1:00,0/0,0,0,0,22.7,95.5,0.9,5.1,46.4,0.2,19.4
7,"Cam Newton, Car QB",Wsh,Sun 1:00,16.8/27.6,202,1.5,0.8,8.9,44.1,0.4,0,0,0,18.5
8,"Matthew Stafford, Det QB",Oak,Sun 1:00,27.1/42.2,306.3,2.1,1,1.9,6.2,0.1,0,0,0,18.2
9,"Aaron Rodgers, GB QB  P",@Min,Sun 4:25,21.9/36,263.9,2,0.5,3.3,18,0.1,0,0,0,18.1
10,"Blake Bortles, Jax QB",Ten,W 19-13,21.8/35.5,262.4,2.2,1,3.4,19.5,0.1,0,0,0,17.8
11,"Andy Dalton, Cin QB",@Ari,Sun 8:30,22.4/35.6,270.8,2,1,3.8,11.1,0.2,0,0,0,17.7
12,"Philip Rivers, SD QB",KC,Sun 4:05,23.5/38.7,288.6,2.2,1.2,1.3,2.8,0,0,0,0,17.3
13,"Charcandrick West, KC RB",@SD,Sun 4:05,0/0,0,0,0,17.3,82.3,0.9,3.3,25.8,0.2,16.4
14,"Russell Wilson, Sea QB",SF,Sun 4:25,18.2/28.6,221.9,1.2,0.6,6.4,40.5,0.2,0,0,0,16.2
15,"Adrian Peterson, Min RB  P",GB,Sun 4:25,0/0,0,0,0,22.7,105.2,0.8,1.8,14.7,0.1,16
16,"Darren McFadden, Dal RB  Q",@Mia,Sun 1:00,0/0,0,0,0,23,90.2,0.7,3.4,29.3,0.2,16
17,"Tony Romo, Dal QB",@Mia,Sun 1:00,20.8/32.7,267.9,1.9,0.7,1.7,4.5,0,0,0,0,15.9
18,"Matt Ryan, Atl QB",Ind,Sun 1:00,25.7/38.4,296.2,1.6,0.8,2.8,8.8,0.1,0,0,0,15.9
19,"Tyrod Taylor, Buf QB",@NE,Mon 8:30,19.1/31.5,220.1,1.3,0.8,6.7,33,0.2,0,0,0,15.3
20,"Ryan Fitzpatrick, NYJ QB  P",@Hou,Sun 1:00,21.4/33.9,241.1,1.7,1.1,4.2,18.4,0.2,0,0,0,15.3
21,"DeMarco Murray, Phi RB",TB,Sun 1:00,0/0,0,0,0,19.9,83.9,0.8,3.3,25.6,0.1,15.1
22,"Matt Hasselbeck, Ind QB",@Atl,Sun 1:00,26.5/41.8,290.7,1.8,1.3,2.2,6.5,0.1,0,0,0,15.1
23,"Alex Smith, KC QB",@SD,Sun 4:05,20.2/32.5,220,1.3,0.5,4,21.6,0.2,0,0,0,14.9
24,"Ryan Tannehill, Mia QB",Dal,Sun 1:00,23.4/35,255.1,1.3,0.7,2.5,11.9,0.1,0,0,0,14.7
25,"Joe Flacco, Bal QB",StL,Sun 1:00,24.4/37.8,279.9,1.3,0.8,1.9,4.1,0.1,0,0,0,14.4
26,"Marshawn Lynch, Sea RB  Q",SF,Sun 4:25,0/0,0,0,0,20,93.6,0.6,2,16,0.1,14
27,"Todd Gurley, StL RB",@Bal,Sun 1:00,0/0,0,0,0,17.6,74.4,0.7,2.8,22,0.1,13.6
28,"Julio Jones, Atl WR",Ind,Sun 1:00,0/0,0,0,0,0,0,0,8.1,104.4,0.6,13.5
29,"Mark Sanchez, Phi QB",TB,Sun 1:00,22.7/36.5,257.6,1.5,1.2,2.3,6.8,0.1,0,0,0,13.2
30,"Marcus Mariota, Ten QB",@Jax,L 13-19,20.6/32.4,236.5,1.3,0.8,2.8,18.5,0.1,0,0,0,13.2
31,"Jonathan Stewart, Car RB",Wsh,Sun 1:00,0/0,0,0,0,21.1,106.8,0.5,0.9,6.4,0,13.1
32,"Larry Fitzgerald, Ari WR  P",Cin,Sun 8:30,0/0,0,0,0,0,0,0,7,97.4,0.7,13
33,"T.J. Yates, Hou QB",NYJ,Sun 1:00,22.6/38.4,284,1.5,1.6,2.1,6.4,0,0,0,0,13
34,Seahawks D/ST D/ST,SF,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,12.9
35,"Jay Cutler, Chi QB",Den,Sun 1:00,20.5/33.2,232,1.2,1.1,2.9,13.4,0.1,0,0,0,12.6
36,"Lamar Miller, Mia RB",Dal,Sun 1:00,0/0,0,0,0,14,64.7,0.5,4.3,33.4,0.1,12.5
37,"LeGarrette Blount, NE RB",Buf,Mon 8:30,0/0,0,0,0,17.9,85.9,0.7,1,7.3,0.1,12.3
38,"Latavius Murray, Oak RB",@Det,Sun 1:00,0/0,0,0,0,17.7,77,0.6,2.1,17.7,0.1,12.3
39,"Calvin Johnson, Det WR  P",Oak,Sun 1:00,0/0,0,0,0,0,0,0,5.8,83,0.7,12.2
40,"Michael Crabtree, Oak WR",@Det,Sun 1:00,0/0,0,0,0,0,0,0,5.9,82.4,0.7,12.1
41,"Kirk Cousins, Wsh QB",@Car,Sun 1:00,24.7/39.7,273.1,1.3,1.4,0.8,2.7,0,0,0,0,12
42,"DeAndre Hopkins, Hou WR  P",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,6.4,91.5,0.5,11.9
2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Brock Osweiler, Den QB",@Chi,Sun 1:00,20.4/36.3,244.2,1.1,0.9,1.6,4.9,0,0,0,0,11.7
4,"Dez Bryant, Dal WR  P",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,5.6,88.3,0.6,11.6
5,"Justin Forsett, Bal RB",StL,Sun 1:00,0/0,0,0,0,17.6,78.5,0.4,3.2,25,0.1,11.6
6,"A.J. Green, Cin WR",@Ari,Sun 8:30,0/0,0,0,0,0,0,0,5.4,81.7,0.6,11.5
7,"Jeremy Langford, Chi RB",Den,Sun 1:00,0/0,0,0,0,17.9,59.2,0.5,3.5,30.5,0.1,11.5
8,"Jameis Winston, TB QB",@Phi,Sun 1:00,19.2/32.9,240.4,0.9,1.1,3,12,0.1,0,0,0,11.5
9,"T.J. Yeldon, Jax RB  P",Ten,W 19-13,0/0,0,0,0,17.9,71.5,0.3,2.6,20.6,0.2,11.4
10,"Chris Ivory, NYJ RB",@Hou,Sun 1:00,0/0,0,0,0,18.9,86,0.5,1.3,9.3,0.1,11.3
11,"Teddy Bridgewater, Min QB  P",GB,Sun 4:25,16.9/29.7,195,1,0.9,3.5,18.2,0.2,0,0,0,11.1
12,"Rob Gronkowski, NE TE",Buf,Mon 8:30,0/0,0,0,0,0,0,0,5.1,62,0.8,10.8
13,Broncos D/ST D/ST,@Chi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,10.7
14,"Chris Johnson, Ari RB",Cin,Sun 8:30,0/0,0,0,0,17.1,81.2,0.4,0.6,4.7,0,10.6
15,"Allen Robinson, Jax WR",Ten,W 19-13,0/0,0,0,0,0,0,0,5.5,79.1,0.6,10.5
16,"Brandon Marshall, NYJ WR  P",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,6.3,76.7,0.6,10.5
17,"Frank Gore, Ind RB",@Atl,Sun 1:00,0/0,0,0,0,17.3,66,0.4,3.1,24.8,0.1,10.4
18,"Amari Cooper, Oak WR",@Det,Sun 1:00,0/0,0,0,0,0.2,1.6,0,5.5,76.4,0.5,10.2
19,"Randall Cobb, GB WR",@Min,Sun 4:25,0/0,0,0,0,0.4,2.8,0,5.6,73.5,0.5,10
20,"Mike Evans, TB WR",@Phi,Sun 1:00,0/0,0,0,0,0,0,0,5.6,85,0.3,9.9
21,"Stevie Johnson, SD WR",KC,Sun 4:05,0/0,0,0,0,0,0,0,5.5,76.1,0.5,9.9
22,"LeSean McCoy, Buf RB",@NE,Mon 8:30,0/0,0,0,0,13.9,58.4,0.4,3.6,25.1,0.1,9.8
23,"Blaine Gabbert, SF QB",@Sea,Sun 4:25,20.3/34.2,233.8,0.7,1,2.6,8.8,0.1,0,0,0,9.5
24,"Sammy Watkins, Buf WR",@NE,Mon 8:30,0/0,0,0,0,0,0,0,5.2,72.6,0.4,9.5
25,"Danny Amendola, NE WR",Buf,Mon 8:30,0/0,0,0,0,0.5,3.3,0,6.4,66.8,0.5,9.2
26,"Jarvis Landry, Mia WR",Dal,Sun 1:00,0/0,0,0,0,1.4,11.6,0,6,61.8,0.3,9.2
27,"Brandon LaFell, NE WR",Buf,Mon 8:30,0/0,0,0,0,0,0,0,4.7,61.4,0.5,9.1
28,"Eric Decker, NYJ WR  P",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,5.3,67.2,0.5,9.1
29,"Greg Olsen, Car TE",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,5,61.2,0.5,9
30,"Justin Tucker, Bal K",StL,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,9
31,"Brandon McManus, Den K",@Chi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.9
32,"Doug Martin, TB RB",@Phi,Sun 1:00,0/0,0,0,0,17.4,66.1,0.3,2.1,16.5,0,8.9
33,"Nick Novak, Hou K  P",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.8
34,"Danny Woodhead, SD RB",KC,Sun 4:05,0/0,0,0,0,7.6,31,0.1,4.1,36.6,0.3,8.8
35,"Demaryius Thomas, Den WR",@Chi,Sun 1:00,0/0,0,0,0,0,0,0,6.2,78.8,0.3,8.8
36,"Giovani Bernard, Cin RB",@Ari,Sun 8:30,0/0,0,0,0,10.3,42.5,0.3,3.5,26.9,0.1,8.7
37,"Steven Hauschka, Sea K",SF,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.7
38,"Case Keenum, StL QB",@Bal,Sun 1:00,17.3/29.3,188.8,0.7,0.7,1.8,8.2,0.1,0,0,0,8.6
39,"Matt Bryant, Atl K",Ind,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.5
40,"John Brown, Ari WR  Q",Cin,Sun 8:30,0/0,0,0,0,0.1,0.8,0,4.1,62.4,0.4,8.5
41,"Andrew Franks, Mia K",Dal,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.5
42,"Davante Adams, GB WR",@Min,Sun 4:25,0/0,0,0,0,0,0,0,4.7,66.3,0.4,8.4
2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Antonio Gates, SD TE  P",KC,Sun 4:05,0/0,0,0,0,0,0,0,4.5,54.1,0.6,8.4
4,"Graham Gano, Car K",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.3
5,"Jordan Matthews, Phi WR",TB,Sun 1:00,0/0,0,0,0,0,0,0,5,61.6,0.4,8.3
6,"Dan Bailey, Dal K",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.2
7,"Mason Crosby, GB K",@Min,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.2
8,"T.Y. Hilton, Ind WR",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,5.7,69.1,0.4,8.2
9,"Tyler Eifert, Cin TE",@Ari,Sun 8:30,0/0,0,0,0,0,0,0,4.8,57,0.5,8.2
10,"Stephen Gostkowski, NE K",Buf,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,8.1
11,"Golden Tate, Det WR",Oak,Sun 1:00,0/0,0,0,0,0.2,1.4,0,5.5,65.1,0.3,8.1
12,"Jeremy Maclin, KC WR",@SD,Sun 4:05,0/0,0,0,0,0.1,0.8,0,4.8,65.3,0.3,8
13,"Caleb Sturgis, Phi K",TB,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8
14,"Blair Walsh, Min K",GB,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,7.9
15,Patriots D/ST D/ST,Buf,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,7.9
16,"Chandler Catanzaro, Ari K",Cin,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,7.9
17,"Greg Zuerlein, StL K",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.8
18,"Allen Hurns, Jax WR  P",Ten,W 19-13,0/0,0,0,0,0,0,0,4.2,59.1,0.5,7.8
19,"Matt Prater, Det K",Oak,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.8
20,"Cairo Santos, KC K",@SD,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,7.8
21,"Dan Carpenter, Buf K",@NE,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,7.8
22,"Jason Myers, Jax K",Ten,W 19-13,0/0,0,0,0,0,0,0,0,0,0,7.8
23,"Emmanuel Sanders, Den WR  Q",@Chi,Sun 1:00,0/0,0,0,0,0.1,0.7,0,4.9,66.9,0.3,7.8
24,Panthers D/ST D/ST,Wsh,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.7
25,Eagles D/ST D/ST,TB,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.7
26,"Ryan Succop, Ten K",@Jax,L 13-19,0/0,0,0,0,0,0,0,0,0,0,7.7
27,"James Starks, GB RB",@Min,Sun 4:25,0/0,0,0,0,11.9,51,0.2,2.3,18.1,0.1,7.6
28,"Mike Nugent, Cin K",@Ari,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,7.6
29,"Marvin Jones, Cin WR",@Ari,Sun 8:30,0/0,0,0,0,0.5,3.2,0,4.1,57.4,0.4,7.5
30,"Josh Lambo, SD K",KC,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,7.5
31,"Jimmy Graham, Sea TE",SF,Sun 4:25,0/0,0,0,0,0,0,0,4.6,55.1,0.4,7.5
32,Rams D/ST D/ST,@Bal,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.5
33,"Phil Dawson, SF K",@Sea,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,7.4
34,"Jason Witten, Dal TE",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,4.6,52.9,0.4,7.4
35,"Darren Sproles, Phi RB",TB,Sun 1:00,0/0,0,0,0,8.6,38,0.3,3.6,29.1,0.1,7.3
36,"Vincent Jackson, TB WR  Q",@Phi,Sun 1:00,0/0,0,0,0,0,0,0,4,60.4,0.2,7.3
37,"Melvin Gordon, SD RB",KC,Sun 4:05,0/0,0,0,0,13.3,50.2,0.2,1.8,12.6,0.1,7.2
38,"Randy Bullock, NYJ K",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.2
39,"Sebastian Janikowski, Oak K",@Det,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.2
40,"Joique Bell, Det RB  P",Oak,Sun 1:00,0/0,0,0,0,10.8,43.3,0.3,1.9,14.4,0.1,7.2
41,"Connor Barth, TB K",@Phi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.2
42,"Anquan Boldin, SF WR  Q",@Sea,Sun 4:25,0/0,0,0,0,0,0,0,5.1,61.2,0.2,7.1
2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Travis Kelce, KC TE  P",@SD,Sun 4:05,0/0,0,0,0,0,0,0,5,54.2,0.4,7.1
4,"Adam Vinatieri, Ind K",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.1
5,"Dustin Hopkins, Wsh K",@Car,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.1
6,"Antonio Andrews, Ten RB",@Jax,L 13-19,0/0,0,0,0,14,41.9,0.3,1.3,10.4,0,7.1
7,"Jordan Reed, Wsh TE",@Car,Sun 1:00,0/0,0,0,0,0,0,0,5.1,52.6,0.4,7.1
8,"Robbie Gould, Chi K",Den,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7
9,"Coby Fleener, Ind TE",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,4.1,50.6,0.3,6.9
10,"Zach Ertz, Phi TE",TB,Sun 1:00,0/0,0,0,0,0,0,0,4,52.3,0.3,6.9
11,"Martellus Bennett, Chi TE",Den,Sun 1:00,0/0,0,0,0,0,0,0,5.2,54.6,0.3,6.8
12,"Ronnie Hillman, Den RB  P",@Chi,Sun 1:00,0/0,0,0,0,11.3,48.4,0.3,1.6,13.2,0,6.8
13,"Tavon Austin, StL WR",@Bal,Sun 1:00,0/0,0,0,0,3.4,26.2,0.1,3.7,39.7,0.1,6.8
14,"Nate Washington, Hou WR  P",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,3.7,55.1,0.3,6.7
15,Packers D/ST D/ST,@Min,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,6.7
16,Titans D/ST D/ST,@Jax,L 13-19,0/0,0,0,0,0,0,0,0,0,0,6.6
17,"Matt Jones, Wsh RB",@Car,Sun 1:00,0/0,0,0,0,10.4,40.6,0.3,1.9,14.5,0.1,6.6
18,"Kamar Aiken, Bal WR",StL,Sun 1:00,0/0,0,0,0,0,0,0,4.2,59.4,0.3,6.6
19,"Delanie Walker, Ten TE",@Jax,L 13-19,0/0,0,0,0,0,0,0,4.5,52.1,0.3,6.6
20,"Pierre Garcon, Wsh WR",@Car,Sun 1:00,0/0,0,0,0,0,0,0,4.1,51.6,0.3,6.5
21,Cowboys D/ST D/ST,@Mia,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.4
22,"Jamison Crowder, Wsh WR",@Car,Sun 1:00,0/0,0,0,0,0.1,0.8,0,4.9,52.7,0.2,6.4
23,"Julius Thomas, Jax TE  P",Ten,W 19-13,0/0,0,0,0,0,0,0,3.7,40.7,0.4,6.4
24,"Stefon Diggs, Min WR",GB,Sun 4:25,0/0,0,0,0,0.3,1.8,0,4,52.9,0.2,6.4
25,"Jeremy Hill, Cin RB",@Ari,Sun 8:30,0/0,0,0,0,10.5,42.5,0.4,1.1,8.2,0,6.4
26,"C.J. Anderson, Den RB",@Chi,Sun 1:00,0/0,0,0,0,9.6,40.4,0.2,1.3,10.7,0,6.3
27,"Eric Ebron, Det TE",Oak,Sun 1:00,0/0,0,0,0,0,0,0,4.3,48.4,0.4,6.3
28,Jets D/ST D/ST,@Hou,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.3
29,"DeSean Jackson, Wsh WR",@Car,Sun 1:00,0/0,0,0,0,0.1,0.8,0,3.4,51.3,0.2,6.2
30,Jaguars D/ST D/ST,Ten,W 19-13,0/0,0,0,0,0,0,0,0,0,0,6.2
31,"Ted Ginn Jr., Car WR",Wsh,Sun 1:00,0/0,0,0,0,0.3,2.2,0,3.3,45.2,0.3,6
32,"James Jones, GB WR  P",@Min,Sun 4:25,0/0,0,0,0,0,0,0,3,43.6,0.3,6
33,"Terrance Williams, Dal WR",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,2.6,43.5,0.3,6
34,"Alfred Blue, Hou RB",NYJ,Sun 1:00,0/0,0,0,0,12.2,45.1,0.1,1.4,12.1,0,6
35,"Theo Riddick, Det RB",Oak,Sun 1:00,0/0,0,0,0,3.8,14,0.1,4.6,38.9,0.2,5.8
36,"Jacob Tamme, Atl TE",Ind,Sun 1:00,0/0,0,0,0,0,0,0,4.3,48.1,0.3,5.8
37,"Donte Moncrief, Ind WR",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,4.1,46,0.3,5.8
38,Dolphins D/ST D/ST,Dal,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.7
39,"Dontrelle Inman, SD WR",KC,Sun 4:05,0/0,0,0,0,0,0,0,3.2,49.7,0.3,5.7
40,Falcons D/ST D/ST,Ind,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.7
41,"Robert Woods, Buf WR",@NE,Mon 8:30,0/0,0,0,0,0.2,1.5,0,3.5,47.7,0.3,5.5
42,"Charles Clay, Buf TE",@NE,Mon 8:30,0/0,0,0,0,0,0,0,3.9,42.4,0.3,5.5
2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Leonard Hankerson, Atl WR  P",Ind,Sun 1:00,0/0,0,0,0,0,0,0,3.4,42.8,0.2,5.5
4,"Cecil Shorts III, Hou WR",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,3.4,42.2,0.2,5.4
5,"Bilal Powell, NYJ RB  P",@Hou,Sun 1:00,0/0,0,0,0,6.2,26.2,0.1,2.9,22.9,0.1,5.4
6,"Dexter McCluster*, Ten WR, RB  O",@Jax,L 13-19,0/0,0,0,0,5.6,19.5,0.1,3.4,30.9,0.1,5.4
7,"Harry Douglas, Ten WR",@Jax,L 13-19,0/0,0,0,0,0.3,1.7,0,3.2,40.1,0.2,5.4
8,Ravens D/ST D/ST,StL,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.4
9,"Rishard Matthews, Mia WR",Dal,Sun 1:00,0/0,0,0,0,0.1,0.8,0,4,48,0.2,5.3
10,Cardinals D/ST D/ST,Cin,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,5.3
11,"Marquess Wilson, Chi WR",Den,Sun 1:00,0/0,0,0,0,0,0,0,3.2,42.5,0.2,5.3
12,"Doug Baldwin, Sea WR  P",SF,Sun 4:25,0/0,0,0,0,0,0,0,3.6,48.5,0.2,5.3
13,"Richard Rodgers, GB TE",@Min,Sun 4:25,0/0,0,0,0,0,0,0,3.3,36.2,0.4,5.3
14,"Chris Givens, Bal WR",StL,Sun 1:00,0/0,0,0,0,0.3,1.7,0,3.3,48.7,0.2,5.1
15,"Shaun Draughn, SF RB",@Sea,Sun 4:25,0/0,0,0,0,11.3,36.6,0.2,2.4,19.3,0,5.1
16,"Kenny Stills, Mia WR",Dal,Sun 1:00,0/0,0,0,0,0,0,0,2.9,41.1,0.2,5
17,Chiefs D/ST D/ST,@SD,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,5
18,Chargers D/ST D/ST,KC,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,4.9
19,Texans D/ST D/ST,NYJ,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.9
20,"Charles Sims, TB RB",@Phi,Sun 1:00,0/0,0,0,0,7.2,27.5,0.1,2.8,24,0.1,4.8
21,Raiders D/ST D/ST,@Det,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.7
22,"Javontee Herndon, SD WR",KC,Sun 4:05,0/0,0,0,0,0,0,0,2.1,34.1,0.2,4.7
23,"Torrey Smith, SF WR",@Sea,Sun 4:25,0/0,0,0,0,0,0,0,2.5,41,0.1,4.7
24,"Jonathan Grimes, Hou RB",NYJ,Sun 1:00,0/0,0,0,0,5.6,20.1,0,2.5,21.9,0.1,4.7
25,"Michael Floyd, Ari WR  Q",Cin,Sun 8:30,0/0,0,0,0,0,0,0,2.1,34.1,0.3,4.6
26,Vikings D/ST D/ST,GB,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,4.5
27,"Eddie Lacy, GB RB  P",@Min,Sun 4:25,0/0,0,0,0,8.1,34.8,0.2,1.4,9.8,0.1,4.4
28,"Andre Johnson, Ind WR",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,3.1,33.6,0.3,4.4
29,"Crockett Gillmore, Bal TE",StL,Sun 1:00,0/0,0,0,0,0,0,0,3.3,36,0.2,4.4
30,Bengals D/ST D/ST,@Ari,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,4.4
31,"Lance Moore, Det WR",Oak,Sun 1:00,0/0,0,0,0,0,0,0,2.7,34,0.2,4.4
32,Buccaneers D/ST D/ST,@Phi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.4
33,"Dorial Green-Beckham, Ten WR",@Jax,L 13-19,0/0,0,0,0,0,0,0,2.9,39.4,0.2,4.4
