2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
34,Colts D/ST D/ST,@Atl,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.4
35,"Devin Funchess, Car WR",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,2.3,32.9,0.2,4.4
36,"Mike Wallace, Min WR",GB,Sun 4:25,0/0,0,0,0,0,0,0,2.6,38.9,0.2,4.3
37,"Jordan Cameron, Mia TE",Dal,Sun 1:00,0/0,0,0,0,0,0,0,2.7,33.6,0.2,4.3
38,"Dwayne Allen, Ind TE",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,2.9,31.6,0.2,4.3
39,"Ryan Griffin, Hou TE",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,2.9,35.2,0.2,4.2
40,49ers D/ST D/ST,@Sea,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,4.2
41,"Javorius Allen, Bal RB",StL,Sun 1:00,0/0,0,0,0,6,25.1,0.2,1.3,10.2,0,4.2
42,"Andre Ellington, Ari RB",Cin,Sun 8:30,0/0,0,0,0,3.6,16.1,0.1,2.3,21,0.1,4.2
2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Ka'Deem Carey, Chi RB",Den,Sun 1:00,0/0,0,0,0,8.7,33,0.2,0.6,4.7,0,4.1
4,"Joshua Bellamy, Chi WR",Den,Sun 1:00,0/0,0,0,0,0,0,0,2.7,34.8,0.2,4.1
5,"Vernon Davis, Den TE",@Chi,Sun 1:00,0/0,0,0,0,0,0,0,2.4,31.3,0.2,4.1
6,"Tyler Lockett, Sea WR",SF,Sun 4:25,0/0,0,0,0,0.1,0.9,0,2.3,33.1,0.1,4.1
7,"Jermaine Kearse, Sea WR",SF,Sun 4:25,0/0,0,0,0,0,0,0,2.2,33.3,0.2,4.1
8,"Roddy White, Atl WR",Ind,Sun 1:00,0/0,0,0,0,0,0,0,2.8,34.7,0.2,4
9,"Alfred Morris, Wsh RB  P",@Car,Sun 1:00,0/0,0,0,0,9.3,35.8,0.1,1.2,9.5,0,4
10,"Nelson Agholor, Phi WR",TB,Sun 1:00,0/0,0,0,0,0,0,0,2.3,31.9,0.2,4
11,"Clive Walford, Oak TE",@Det,Sun 1:00,0/0,0,0,0,0,0,0,1.9,23.2,0.3,3.9
12,"Scott Chandler, NE TE",Buf,Mon 8:30,0/0,0,0,0,0,0,0,1.9,22,0.3,3.8
13,"Seth Roberts, Oak WR",@Det,Sun 1:00,0/0,0,0,0,0,0,0,1.8,25.2,0.3,3.8
14,"Kenny Britt, StL WR",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,2.2,33.2,0.1,3.7
15,"Vance McDonald, SF TE",@Sea,Sun 4:25,0/0,0,0,0,0,0,0,2.7,32.5,0.1,3.6
16,Bears D/ST D/ST,Den,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,3.6
17,"Jay Ajayi, Mia RB",Dal,Sun 1:00,0/0,0,0,0,6.3,27.7,0.3,0.6,5,0,3.6
18,"Mohamed Sanu, Cin WR",@Ari,Sun 8:30,0/0,0,0,0,0.2,1.6,0,2.4,29.8,0.3,3.6
19,"Keshawn Martin, NE WR  Q",Buf,Mon 8:30,0/0,0,0,0,0,0,0,2.3,26.3,0.3,3.5
20,"Mychal Rivera, Oak TE",@Det,Sun 1:00,0/0,0,0,0,0,0,0,1.9,22.7,0.3,3.5
21,"Jaron Brown, Ari WR",Cin,Sun 8:30,0/0,0,0,0,0.1,0.8,0,2,27.9,0.2,3.4
22,"Anthony Fasano, Ten TE",@Jax,L 13-19,0/0,0,0,0,0,0,0,2,23.5,0.2,3.3
23,"Darren Fells, Ari TE",Cin,Sun 8:30,0/0,0,0,0,0,0,0,2,24.4,0.2,3.2
24,"Karlos Williams, Buf RB",@NE,Mon 8:30,0/0,0,0,0,5.8,24.4,0.2,0.7,5.3,0,3.2
25,"James White, NE RB",Buf,Mon 8:30,0/0,0,0,0,3,11.7,0.1,2,15.6,0.1,3.2
26,"Zach Miller, Chi TE",Den,Sun 1:00,0/0,0,0,0,0,0,0,2.6,29,0.2,3.2
27,"Jermaine Gresham, Ari TE",Cin,Sun 8:30,0/0,0,0,0,0,0,0,2.1,21.9,0.2,3
28,"Tre Mason, StL RB",@Bal,Sun 1:00,0/0,0,0,0,5.6,21.6,0.2,0.6,5,0,3
29,"Marc Mariani, Chi WR",Den,Sun 1:00,0/0,0,0,0,0,0,0,2,25.5,0.1,3
30,"Cole Beasley, Dal WR",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,2.3,28.2,0.2,3
31,"Kyle Rudolph, Min TE",GB,Sun 4:25,0/0,0,0,0,0,0,0,2.3,24.7,0.2,3
32,"Chris Hogan, Buf WR",@NE,Mon 8:30,0/0,0,0,0,0,0,0,2.2,26,0.2,3
33,"Kenbrell Thompkins, NYJ WR",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,1.9,23.6,0.2,3
34,"Jerricho Cotchery, Car WR",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,2,24.3,0.2,3
35,"Albert Wilson, KC WR",@SD,Sun 4:05,0/0,0,0,0,0,0,0,2.3,28.3,0.2,2.9
36,"Marlon Brown, Bal WR",StL,Sun 1:00,0/0,0,0,0,0,0,0,2.1,28,0.1,2.8
37,"Riley Cooper, Phi WR",TB,Sun 1:00,0/0,0,0,0,0,0,0,1.5,21.5,0.1,2.8
38,Lions D/ST D/ST,Oak,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,2.8
39,Bills D/ST D/ST,@NE,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,2.8
40,"Jared Cook, StL TE",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,2,23.5,0.1,2.7
41,"Maxx Williams, Bal TE",StL,Sun 1:00,0/0,0,0,0,0,0,0,2.5,27.7,0.1,2.7
42,Redskins D/ST D/ST,@Car,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,2.6
2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Chris Thompson, Wsh RB",@Car,Sun 1:00,0/0,0,0,0,1.9,8,0,2.8,25.9,0.1,2.6
4,"Brian Quick, StL WR",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,1.6,23.1,0.1,2.6
5,"Kyle Juszczyk, Bal RB",StL,Sun 1:00,0/0,0,0,0,0,0,0,2.4,20.8,0.1,2.6
6,"Garrett Celek, SF TE",@Sea,Sun 4:25,0/0,0,0,0,0,0,0,2,21.3,0.1,2.5
7,"Jerome Simpson, SF WR",@Sea,Sun 4:25,0/0,0,0,0,0,0,0,1.6,22.2,0.1,2.4
8,"Wes Welker, StL WR",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,2.1,21.3,0.1,2.4
9,"Travaris Cadet, SF RB",@Sea,Sun 4:25,0/0,0,0,0,3.2,11.3,0,1.3,10.4,0,2.3
10,"Mike Tolbert, Car RB",Wsh,Sun 1:00,0/0,0,0,0,3,11.3,0.2,0.9,6.5,0.1,2.3
11,"Marcel Reece, Oak RB",@Det,Sun 1:00,0/0,0,0,0,0.5,1.6,0,1.9,19.1,0.2,2.3
12,"Spencer Ware, KC RB",@SD,Sun 4:05,0/0,0,0,0,3,13.1,0.2,0.5,4,0,2.2
13,"De'Anthony Thomas, KC RB, WR",@SD,Sun 4:05,0/0,0,0,0,0.9,4.6,0,2.1,17.4,0.1,2.2
14,"John Phillips, SD TE",KC,Sun 4:05,0/0,0,0,0,0,0,0,1.4,15.7,0.2,2
15,"Marqise Lee, Jax WR  P",Ten,W 19-13,0/0,0,0,0,0.2,1.6,0,1.5,17.8,0.2,2
16,"David Johnson, Ari RB",Cin,Sun 8:30,0/0,0,0,0,1.7,7.9,0.1,1.4,14.4,0.1,1.9
17,"Rashad Greene, Jax WR  P",Ten,W 19-13,0/0,0,0,0,0,0,0,1.5,16.4,0.2,1.9
18,"Josh Huff, Phi WR  P",TB,Sun 1:00,0/0,0,0,0,0,0,0,1.3,14.4,0.1,1.9
19,"Marcedes Lewis, Jax TE",Ten,W 19-13,0/0,0,0,0,0,0,0,1.1,12.1,0.1,1.8
20,"Quincy Enunwa, NYJ WR",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,1.7,19.6,0.1,1.8
21,"Andre Holmes, Oak WR",@Det,Sun 1:00,0/0,0,0,0,0,0,0,0.9,15,0.1,1.8
22,"Tevin Coleman, Atl RB",Ind,Sun 1:00,0/0,0,0,0,3.6,15.4,0.1,0.4,3.4,0,1.8
23,"Griff Whalen, Ind WR",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,1.7,19.4,0.1,1.8
24,"Robert Turbin, Dal RB",@Mia,Sun 1:00,0/0,0,0,0,3.4,13.5,0.1,0.5,4.2,0,1.8
25,"Justin Perillo, GB TE",@Min,Sun 4:25,0/0,0,0,0,0,0,0,1.1,12.8,0.1,1.8
26,"Dion Sims, Mia TE",Dal,Sun 1:00,0/0,0,0,0,0,0,0,1.5,16.8,0.1,1.8
27,"Ameer Abdullah, Det RB",Oak,Sun 1:00,0/0,0,0,0,4.9,19.8,0.1,0.9,7.6,0,1.7
28,"Thomas Rawls, Sea RB",SF,Sun 4:25,0/0,0,0,0,4.3,19.5,0.1,0.5,3.8,0,1.7
29,"David Cobb, Ten RB",@Jax,L 13-19,0/0,0,0,0,4.1,14.2,0.1,0.5,4.1,0,1.7
30,"Aaron Dobson, NE WR",Buf,Mon 8:30,0/0,0,0,0,0,0,0,1.1,13.8,0.1,1.7
31,"Ahmad Bradshaw, Ind RB",@Atl,Sun 1:00,0/0,0,0,0,4.1,16.9,0.1,1.2,9.7,0,1.6
32,"Chris Polk, Hou RB  Q",NYJ,Sun 1:00,0/0,0,0,0,4.5,17.1,0.1,1.1,9.6,0,1.6
33,"Ed Dickson, Car TE",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,1.1,13.6,0.1,1.6
34,"Denard Robinson, Jax RB",Ten,W 19-13,0/0,0,0,0,3.8,14.9,0.1,0.9,6.6,0,1.6
35,"Jarius Wright, Min WR",GB,Sun 4:25,0/0,0,0,0,0,0,0,1.5,19.8,0.1,1.6
36,"Owen Daniels, Den TE  P",@Chi,Sun 1:00,0/0,0,0,0,0,0,0,1.1,12.2,0.1,1.6
37,"Taiwan Jones, Oak RB, CB",@Det,Sun 1:00,0/0,0,0,0,2.5,11,0.1,0.5,4.4,0,1.6
38,"Lance Kendricks, StL TE",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,1.3,13.3,0.1,1.5
39,"Derek Carrier, Wsh TE",@Car,Sun 1:00,0/0,0,0,0,0,0,0,1.2,13.5,0.1,1.5
40,"Miles Austin, Phi WR",TB,Sun 1:00,0/0,0,0,0,0,0,0,1.1,14.1,0.1,1.5
41,"Kendall Gaskins, SF RB",@Sea,Sun 4:25,0/0,0,0,0,5.3,18.8,0.1,0.8,6.2,0,1.5
42,"Luke Willson, Sea TE  P",SF,Sun 4:25,0/0,0,0,0,0,0,0,1,12.2,0.1,1.5
2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Brandon Myers, TB TE",@Phi,Sun 1:00,0/0,0,0,0,0,0,0,1.3,15.1,0.1,1.4
4,"Charles Johnson, Min WR",GB,Sun 4:25,0/0,0,0,0,0,0,0,0.9,12.8,0.1,1.4
5,"Bennie Fowler, Den WR",@Chi,Sun 1:00,0/0,0,0,0,0,0,0,1.7,17.9,0.1,1.4
6,"MyCole Pruitt, Min TE",GB,Sun 4:25,0/0,0,0,0,0,0,0,1,10.9,0.1,1.4
7,"Jeremy Butler, Bal WR",StL,Sun 1:00,0/0,0,0,0,0,0,0,1,14.4,0.1,1.4
8,"Cameron Meredith, Chi WR",Den,Sun 1:00,0/0,0,0,0,0,0,0,0.9,11.5,0.1,1.4
9,"Kevin Smith, Sea WR",SF,Sun 4:25,0/0,0,0,0,0,0,0,0.9,11.9,0.1,1.4
10,"Jason Avant, KC WR",@SD,Sun 4:05,0/0,0,0,0,0,0,0,1,11.8,0.1,1.3
11,"Greg Jennings, Mia WR",Dal,Sun 1:00,0/0,0,0,0,0,0,0,0.9,11.6,0.1,1.3
12,"Cameron Brate, TB TE",@Phi,Sun 1:00,0/0,0,0,0,0,0,0,1,10.7,0.1,1.3
13,"Tre McBride, Ten WR",@Jax,L 13-19,0/0,0,0,0,0,0,0,0.7,10,0.1,1.3
14,"Donteea Dye, TB WR",@Phi,Sun 1:00,0/0,0,0,0,0,0,0,1.1,15.2,0.1,1.3
15,"Nick Boyle, Bal TE  D",StL,Sun 1:00,0/0,0,0,0,0,0,0,1.1,11.2,0.1,1.3
16,"Jamize Olawale, Oak RB",@Det,Sun 1:00,0/0,0,0,0,2.7,9.7,0.1,0.5,4.5,0.1,0.9
17,"Brandon Bolden, NE RB",Buf,Mon 8:30,0/0,0,0,0,1.5,6.8,0.1,0.8,5.9,0,0.7
18,"Matt Asiata, Min RB  P",GB,Sun 4:25,0/0,0,0,0,1.4,5.6,0.1,1.2,8.6,0,0.7
19,"Lee Smith, Oak TE  D",@Det,Sun 1:00,0/0,0,0,0,0,0,0,0.7,8.5,0.1,0.6
20,"Brandon Pettigrew, Det TE",Oak,Sun 1:00,0/0,0,0,0,0,0,0,1,9.8,0.1,0.5
21,"Bryan Walters, Jax WR  P",Ten,W 19-13,0/0,0,0,0,0,0,0,0.6,8.6,0.1,0.5
22,"Jack Doyle, Ind TE",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,0.9,7.3,0.1,0.5
23,"Keith Mumphery, Hou WR",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,0.6,8.6,0,0.5
24,"Jeremy Kerley, NYJ WR",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,0.6,7.5,0.1,0.5
25,"C.J. Fiedorowicz, Hou TE",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,0.9,9.4,0.1,0.5
26,"Gavin Escobar, Dal TE",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,0.7,7.4,0.1,0.4
27,"James Hanna, Dal TE",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,0.7,7.4,0.1,0.4
28,"J.J. Nelson, Ari WR",Cin,Sun 8:30,0/0,0,0,0,0,0,0,0.6,9.3,0.1,0.4
29,"Fozzy Whittaker, Car RB  P",Wsh,Sun 1:00,0/0,0,0,0,1.6,7.3,0,0.7,5.1,0,0.4
30,"Brenton Bersin, Car WR",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,0.6,8,0.1,0.4
31,"Brent Celek, Phi TE",TB,Sun 1:00,0/0,0,0,0,0,0,0,0.7,8.3,0.1,0.4
32,"Donald Brown, SD RB",KC,Sun 4:05,0/0,0,0,0,2.4,9.4,0,0.5,4.1,0,0.4
33,"Jerick McKinnon, Min RB",GB,Sun 4:25,0/0,0,0,0,2,8.9,0,0.6,4.4,0,0.4
34,"Fred Jackson, Sea RB",SF,Sun 4:25,0/0,0,0,0,0.9,3.6,0,1.1,9.2,0,0.3
35,"Ryan Hewitt, Cin TE",@Ari,Sun 8:30,0/0,0,0,0,0,0,0,0.8,6.6,0.1,0.3
36,"Jeff Cumberland, NYJ TE",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,0.6,6.9,0.1,0.3
37,"Jeremy Ross, Bal WR",StL,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,0.3
38,"Demetrius Harris, KC TE",@SD,Sun 4:05,0/0,0,0,0,0,0,0,0.6,7.2,0.1,0.3
39,"Rhett Ellison, Min TE",GB,Sun 4:25,0/0,0,0,0,0,0,0,1,8.4,0,0.3
40,"Bruce Ellington, SF WR",@Sea,Sun 4:25,0/0,0,0,0,0.2,1.4,0,0.2,2.4,0,0.3
41,"Quan Bray, Ind RB",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,0.3
42,"Tyrell Williams, SD WR",KC,Sun 4:05,0/0,0,0,0,0,0,0,0.5,6.9,0,0.3
2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Rod Smith, Dal RB",@Mia,Sun 1:00,0/0,0,0,0,0.9,3.5,0,0.3,2,0,0.3
4,"Corey Fuller, Det WR",Oak,Sun 1:00,0/0,0,0,0,0,0,0,0.5,6.7,0,0.3
5,"Luke Stocker, TB TE",@Phi,Sun 1:00,0/0,0,0,0,0,0,0,0.8,8.5,0,0.3
6,"Levine Toilolo, Atl TE",Ind,Sun 1:00,0/0,0,0,0,0,0,0,0.5,5.8,0,0.2
7,"Andre Caldwell, Den WR",@Chi,Sun 1:00,0/0,0,0,0,0,0,0,0.6,7.6,0,0.2
8,"Benjamin Cunningham, StL RB",@Bal,Sun 1:00,0/0,0,0,0,0.3,1,0,0.8,6.6,0,0.2
9,"Bobby Rainey, TB RB",@Phi,Sun 1:00,0/0,0,0,0,0.3,0.9,0,0.1,0.9,0,0.2
10,"Lucky Whitehead, Dal WR",@Mia,Sun 1:00,0/0,0,0,0,0.3,1.9,0,0.2,3,0,0.2
11,"Stevan Ridley, NYJ RB",@Hou,Sun 1:00,0/0,0,0,0,1.4,6.1,0,0,0,0,0.2
12,"Devin Smith, NYJ WR",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,0.4,4.9,0,0.2
13,"Craig Stevens, Ten TE",@Jax,L 13-19,0/0,0,0,0,0,0,0,0.4,4.9,0,0.2
14,"Virgil Green, Den TE  P",@Chi,Sun 1:00,0/0,0,0,0,0,0,0,0.4,4.5,0,0.2
15,"Damien Williams, Mia RB  P",Dal,Sun 1:00,0/0,0,0,0,0.1,0.5,0,0.6,5,0,0.2
16,"Clay Harbor, Jax TE",Ten,W 19-13,0/0,0,0,0,0,0,0,0.2,2.7,0,0.2
17,"Eric Weems, Atl WR",Ind,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,0.2
18,"Cordarrelle Patterson, Min WR",GB,Sun 4:25,0/0,0,0,0,0.3,1.8,0,0,0,0,0.2
19,"Darrel Young, Wsh RB",@Car,Sun 1:00,0/0,0,0,0,0.7,2.2,0,0.2,1.3,0,0.1
20,"Chris Matthews, Sea WR",SF,Sun 4:25,0/0,0,0,0,0,0,0,0.3,4.7,0,0.1
21,"Patrick DiMarco, Atl RB",Ind,Sun 1:00,0/0,0,0,0,0,0,0,0.4,3.6,0,0.1
22,"Rex Burkhead, Cin RB",@Ari,Sun 8:30,0/0,0,0,0,0,0,0,0.5,4.3,0,0.1
23,"Quinton Patton, SF WR",@Sea,Sun 4:25,0/0,0,0,0,0,0,0,0.5,7.1,0,0.1
24,"Kellen Davis, NYJ TE",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,0.2,2.7,0,0.1
25,"Rashad Ross, Wsh WR",@Car,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,0.1
26,"Jeff Janis, GB WR",@Min,Sun 4:25,0/0,0,0,0,0,0,0,0.2,3.1,0,0.1
27,"Michael Burton, Det RB",Oak,Sun 1:00,0/0,0,0,0,0.6,2,0,0,0,0,0.1
28,"Chris Conley, KC WR",@SD,Sun 4:05,0/0,0,0,0,0,0,0,0.3,3.6,0,0.1
29,"John Kuhn, GB RB",@Min,Sun 4:25,0/0,0,0,0,0,0,0,0.2,1.9,0,0.1
30,"Devin Street, Dal WR",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,0.2,2.9,0,0.1
31,"Bruce Miller, SF RB",@Sea,Sun 4:25,0/0,0,0,0,0,0,0,0.8,6.5,0,0.1
32,"Michael Williams, NE TE",Buf,Mon 8:30,0/0,0,0,0,0,0,0,0.1,1.3,0,0.1
33,"Blake Bell, SF TE",@Sea,Sun 4:25,0/0,0,0,0,0,0,0,0.4,4.9,0,0.1
34,"Brandon Tate, Cin WR",@Ari,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,0.1
35,"Chris Gragg, Buf TE",@NE,Mon 8:30,0/0,0,0,0,0,0,0,0.2,2.1,0,0.1
36,"Justin Hardy, Atl WR",Ind,Sun 1:00,0/0,0,0,0,0,0,0,0.2,3.2,0,0.1
37,"Anthony Sherman, KC RB",@SD,Sun 4:05,0/0,0,0,0,0.1,0.4,0,0.1,1.1,0,0.1
38,"Antone Smith, Chi RB",Den,Sun 1:00,0/0,0,0,0,0.6,2,0,0,0,0,0.1
39,"Terron Ward, Atl RB",Ind,Sun 1:00,0/0,0,0,0,0,0,0,0.4,3.5,0,0.1
40,"Daniel Herron, Buf RB",@NE,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,0.1
41,"Matthew Slater, NE WR",Buf,Mon 8:30,0/0,0,0,0,0,0,0,0.1,1.8,0,0.1
42,"Knile Davis, KC RB",@SD,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,0.1
2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"David Johnson, SD TE",KC,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,0.1
4,"Jalston Fowler, Ten RB",@Jax,L 13-19,0/0,0,0,0,0,0,0,0.2,2.2,0,0.1
5,"Tony Moeaki, Atl TE",Ind,Sun 1:00,0/0,0,0,0,0,0,0,0.1,1.5,0,0.1
6,"Juwan Thompson, Den RB",@Chi,Sun 1:00,0/0,0,0,0,0.3,1.3,0,0.1,1,0,0.1
7,"Adam Humphries, TB WR",@Phi,Sun 1:00,0/0,0,0,0,0,0,0,0.3,3.3,0,0.1
8,"Zac Stacy*, NYJ RB  IR",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,0.1
9,"TJ Jones, Det WR",Oak,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,0
10,"Tommy Bohanon, NYJ RB",@Hou,Sun 1:00,0/0,0,0,0,0,0,0,0.1,1.1,0,0
11,"Jorvorskie Lane, TB RB",@Phi,Sun 1:00,0/0,0,0,0,0,0,0,0.2,1.9,0,0
12,"Ryan Grant, Wsh WR",@Car,Sun 1:00,0/0,0,0,0,0,0,0,0.1,1.5,0,0
13,"Denarius Moore, Buf WR",@NE,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,0
14,"Matt McGloin, Oak QB",@Det,Sun 1:00,0.1/0.2,1.4,0,0,0,0,0,0,0,0,0
15,"Cody Latimer, Den WR",@Chi,Sun 1:00,0/0,0,0,0,0,0,0,0.1,1.3,0,0
16,"Jimmy Garoppolo, NE QB",Buf,Mon 8:30,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0
17,"Drew Stanton, Ari QB",Cin,Sun 8:30,0.1/0.2,1.4,0,0,0,0,0,0,0,0,0
18,"Ty Montgomery, GB WR  D",@Min,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,0
19,"Chad Henne, Jax QB",Ten,W 19-13,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0
20,"Dan Orlovsky, Det QB",Oak,Sun 1:00,0.1/0.2,1.5,0,0,0,0,0,0,0,0,0
21,"Andre Roberts, Wsh WR  P",@Car,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,0
22,"Kellen Clemens, SD QB",KC,Sun 4:05,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0
23,"Raheem Mostert, Bal RB",StL,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,0
24,"Bradley Marquez, StL WR",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,0.1,1.1,0,0
25,"Cory Harkey, StL TE",@Bal,Sun 1:00,0/0,0,0,0,0,0,0,0.1,0.8,0,0
26,"Scott Tolzien, GB QB",@Min,Sun 4:25,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0
27,"Jay Prosch, Hou RB",NYJ,Sun 1:00,0/0,0,0,0,0.2,0.8,0,0,0,0,0
28,"Geno Smith, NYJ QB",@Hou,Sun 1:00,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0
29,"Nick Williams, Atl WR",Ind,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,0
30,"Matt Cassel, Dal QB",@Mia,Sun 1:00,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0
31,"Derek Anderson, Car QB",Wsh,Sun 1:00,0.1/0.1,1.1,0,0,0,0,0,0,0,0,0
